"SASKAITOS_METAI","KREDITORIUS","KREDITORIAUS_NR","SUTARTIES_NR","SASKAITOS_DATA","SASKAITOS_NR","DK_DATA","TERMS_DATE","TREMINAS","VALIUTA","INVOICE_TYPE_LOOKUP_CODE","FIN_SALTINIS","PRIEMONE","SAMATA","EKON_KLAS","ASIGNAV_VALDYTOJAS","ASIGN_VALD_APRASAS","EILUTES_SUMA","APMOKETA_SUMA","SKOLOS_SUMA","SKOLOS_SUMA_ES","DEPARTAMENTAS"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/10","2013-10-31T00:00","NAB 63628 FINAN","2014-12-31T00:00","2013-10-31T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",90205.32,90205.32,0,,"Administracija EUR"
"2013","Susisiekimo paslaugos, SĮ","124644360","29-468(1.2.16-AD4)","2013-10-31T00:00","SP0 0000185","2014-12-31T00:00","2013-10-31T00:00","30 dienų","EUR","STANDARD","01","14010108","3000680","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",7980.6,7980.6,0,,"Administracija EUR"
"2013","Vilniaus viešasis transportas, UAB","302683277","29-462(1.2.16-AD4)","2013-10-31T00:00","VVT 0003052","2014-12-31T00:00","2013-10-31T00:00","30 dienų","EUR","STANDARD","01","15020104004","3001078","2.8.1.1.1.2.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",231555.52,231555.52,0,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-10-31T00:00","ŽN/201310","2014-12-31T00:00","2013-10-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",214298.3,0,214298.3,,"Administracija EUR"
"2013","Stebulė, UAB","122211549","A50-43139/1","2013-11-28T00:00","GAO 0014121 Perleidimas","2014-12-31T00:00","2013-11-28T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",299981.35,299981.35,0,,"Administracija EUR"
"2013","Vilniaus apšvietimas, UAB","120125820","29-451(1.2.16-AD4)","2013-11-29T00:00","GAT 04865","2014-12-31T00:00","2013-11-29T00:00","90 dienų","EUR","STANDARD","01","14010112","3000720","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",45338.61,45338.61,0,,"Administracija EUR"
"2013","Vilniaus apšvietimas, UAB","120125820","A72-413/15(3.1.36-AD4)","2013-11-29T00:00","GAT 04866","2014-12-31T00:00","2013-11-29T00:00","90 dienų","EUR","STANDARD","01","14010112","3000720","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",50695.18,50695.18,0,,"Administracija EUR"
"2013","Vilniaus apšvietimas, UAB","120125820","29-451(1.2.16-AD4)","2013-12-23T00:00","GAT 04889","2014-12-31T00:00","2013-12-23T00:00","90 dienų","EUR","STANDARD","01","14010112","3000720","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",113533.49,113533.49,0,,"Administracija EUR"
"2013","Vilniaus viešasis transportas, UAB","302683277","29-462(1.2.16-AD4)","2013-12-31T00:00","SPO 0000215 Perleidimas*","2014-12-31T00:00","2013-12-31T00:00","30 dienų","EUR","STANDARD","01","02040201","3000050","2.7.2.1.1.1.E.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",2213338.53,2213338.53,0,,"Administracija EUR"
"2014","Grinda, UAB","120153047","29-464","2014-01-31T00:00","GAO 0014370","2014-12-31T00:00","2014-01-31T00:00","90 dienų","EUR","STANDARD","01","14010124","3000820","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",11855.13,11855.13,0,,"Administracija EUR"
"2014","Grinda, UAB","120153047","29-464","2014-02-28T00:00","GAO 0014783","2014-12-31T00:00","2014-02-28T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",24384.1,24384.1,0,,"Administracija EUR"
